_id,book_id,keyword,weight
685bd9cba23fd5d108b969ba,book-22,Alif,0.95
685bd9cba23fd5d108b969bb,book-22,man jadda wajada,0.95
685bd9cba23fd5d108b969bc,book-22,motivasi pelajar,0.95
685bd9cba23fd5d108b969bd,book-22,merantau,0.95
685bd9cba23fd5d108b969be,book-23,Mount Everest,0.95
685bd9cba23fd5d108b969bf,book-23,pendakian,0.95
685bd9cba23fd5d108b969c0,book-23,badai salju,0.95
685bd9cba23fd5d108b969c1,book-23,survival,0.95
685bd9cba23fd5d108b969c2,book-23,tragedi alam,0.95
685bd9cba23fd5d108b969c3,book-24,karibia,0.95
685bd9cba23fd5d108b969c4,book-24,bajak laut,0.95
685bd9cba23fd5d108b969c5,book-24,Jack Sparrow,0.95
685bd9cba23fd5d108b969c6,book-24,petualangan laut,0.95
685bd9cba23fd5d108b969c7,book-24,komedi aksi,0.95
685bd9cba23fd5d108b969c8,book-25,Hobbit,0.95
685bd9cba23fd5d108b969c9,book-25,Frodo,0.95
685bd9cba23fd5d108b969ca,book-25,Middle Earth,0.95
685bd9cba23fd5d108b969cb,book-25,cincin kekuasaan,0.95
685bd9cba23fd5d108b969cc,book-25,perjalanan epik,0.95
685bd9cba23fd5d108b969cd,book-26,labirin,0.95
685bd9cba23fd5d108b969ce,book-26,maze runner,0.95
685bd9cba23fd5d108b969cf,book-26,eksperimen,0.95
685bd9cba23fd5d108b969d0,book-26,Thomas,0.95
685bd9cba23fd5d108b969d1,book-26,Glade,0.95
685bd9cba23fd5d108b969d2,book-27,Narnia,0.95
685bd9cba23fd5d108b969d3,book-27,Aslan,0.95
685bd9cba23fd5d108b969d4,book-27,dunia sihir,0.95
685bd9cba23fd5d108b969d5,book-27,Pevensie bersaudara,0.95
685bd9cba23fd5d108b969d6,book-27,lemari ajaib,0.95
685bd9cba23fd5d108b969d7,book-28,perang luar angkasa,0.95
685bd9cba23fd5d108b969d8,book-28,Luke Skywalker,0.95
685bd9cba23fd5d108b969d9,book-28,galaksi,0.95
685bd9cba23fd5d108b969da,book-28,Darth Vader,0.95
685bd9cba23fd5d108b969db,book-28,Jedi,0.95
685bd9cba23fd5d108b969dc,book-29,Indiana Jones,0.95
685bd9cba23fd5d108b969dd,book-29,arkeologi,0.95
685bd9cba23fd5d108b969de,book-29,rahasia kuno,0.95
685bd9cba23fd5d108b969df,book-29,bahaya,0.95
685bd9cba23fd5d108b969e0,book-29,eksplorasi,0.95
685bd9cba23fd5d108b969e1,book-30,pirates,0.95
685bd9cba23fd5d108b969e2,book-30,harta karun,0.95
685bd9cba23fd5d108b969e3,book-30,kapal laut,0.95
685bd9cba23fd5d108b969e4,book-30,kejar-kejaran,0.95
685bd9cba23fd5d108b969e5,book-30,pengkhianatan,0.95
685bd9eba23fd5d108b969e6,book-31,Sherlock Holmes,0.95
685bd9eba23fd5d108b969e7,book-31,detektif,0.95
685bd9eba23fd5d108b969e8,book-31,London,0.95
685bd9eba23fd5d108b969e9,book-31,Watson,0.95
685bd9eba23fd5d108b969ea,book-31,kasus misteri,0.95
685bd9eba23fd5d108b969eb,book-32,planet asing,0.95
685bd9eba23fd5d108b969ec,book-32,makhluk luar angkasa,0.95
685bd9eba23fd5d108b969ed,book-32,kolonisasi,0.95
685bd9eba23fd5d108b969ee,book-32,perjuangan hidup,0.95
685bd9eba23fd5d108b969ef,book-32,sains dan fiksi,0.95
685bd9eba23fd5d108b969f0,book-33,perjalanan waktu,0.95
685bd9eba23fd5d108b969f1,book-33,eksperimen ilmiah,0.95
685bd9eba23fd5d108b969f2,book-33,dimensi alternatif,0.95
685bd9eba23fd5d108b969f3,book-33,penjelajah waktu,0.95
685bd9eba23fd5d108b969f4,book-33,teknologi canggih,0.95
685bd9eba23fd5d108b969f5,book-34,mitologi nordik,0.95
685bd9eba23fd5d108b969f6,book-34,Thor,0.95
685bd9eba23fd5d108b969f7,book-34,dewa petir,0.95
685bd9eba23fd5d108b969f8,book-34,Asgard,0.95
685bd9eba23fd5d108b969f9,book-34,Loki,0.95
685bd9eba23fd5d108b969fa,book-35,peta harta karun,0.95
685bd9eba23fd5d108b969fb,book-35,petualangan remaja,0.95
685bd9eba23fd5d108b969fc,book-35,gua rahasia,0.95
685bd9eba23fd5d108b969fd,book-35,kelompok sahabat,0.95
685bd9eba23fd5d108b969fe,book-35,penyelamatan rumah,0.95
685bd9eba23fd5d108b969ff,book-36,perang dunia,0.95
685bd9eba23fd5d108b96a00,book-36,tentara muda,0.95
685bd9eba23fd5d108b96a01,book-36,pertemanan,0.95
685bd9eba23fd5d108b96a02,book-36,kamp militer,0.95
685bd9eba23fd5d108b96a03,book-36,pengkhianatan,0.95
685bd9eba23fd5d108b96a04,book-37,serigala,0.95
685bd9eba23fd5d108b96a05,book-37,hutan belantara,0.95
685bd9eba23fd5d108b96a06,book-37,anak liar,0.95
685bd9eba23fd5d108b96a07,book-37,tarzan vibes,0.95
685bd9eba23fd5d108b96a08,book-37,kehidupan liar,0.95
685bd9eba23fd5d108b96a09,book-38,raja hutan,0.95
685bd9eba23fd5d108b96a0a,book-38,kisah binatang,0.95
685bd9eba23fd5d108b96a0b,book-38,petualangan singa,0.95
685bd9eba23fd5d108b96a0c,book-38,Simba,0.95
685bd9eba23fd5d108b96a0d,book-38,pengkhianatan keluarga,0.95
685bd9eba23fd5d108b96a0e,book-39,petualangan anak-anak,0.95
685bd9eba23fd5d108b96a0f,book-39,persahabatan,0.95
685bd9eba23fd5d108b96a10,book-39,komedi,0.95
685bd9eba23fd5d108b96a11,book-39,keluarga,0.95
685bd9eba23fd5d108b96a12,book-39,liburan sekolah,0.95
685bd9eba23fd5d108b96a13,book-40,revolusi dunia,0.95
685bd9eba23fd5d108b96a14,book-40,alien,0.95
685bd9eba23fd5d108b96a15,book-40,teknologi invasi,0.95
685bd9eba23fd5d108b96a16,book-40,planet bumi,0.95
685bd9eba23fd5d108b96a17,book-40,perang global,0.95
685bdd95c00438143f2d9728,book-41,Gundul Peringis,0.95
685bdd95c00438143f2d9729,book-41,dusun hantu,0.95
685bdd95c00438143f2d972a,book-41,anak manusia,0.95
685bdd95c00438143f2d972b,book-41,petualangan supernatural,0.95
685bdd95c00438143f2d972c,book-41,komedi horor,0.95
685bdd95c00438143f2d972d,book-42,Peri Melati,0.95
685bdd95c00438143f2d972e,book-42,Ratu Lavender,0.95
685bdd95c00438143f2d972f,book-42,awan hitam,0.95
685bdd95c00438143f2d9730,book-42,dongeng anak,0.95
685bdd95c00438143f2d9731,book-42,dunia peri,0.95
685bdd95c00438143f2d9732,book-43,artefak hilang,0.95
685bdd95c00438143f2d9733,book-43,petualangan misteri,0.95
685bdd95c00438143f2d9734,book-43,sahabat Ollie,0.95
685bdd95c00438143f2d9735,book-43,ruang rahasia,0.95
685bdd95c00438143f2d9736,book-43,detektif anak,0.95
685bdd95c00438143f2d9737,book-44,Sherlock Holmes,0.95
685bdd95c00438143f2d9738,book-44,kasus detektif,0.95
685bdd95c00438143f2d9739,book-44,London klasik,0.95
685bdd95c00438143f2d973a,book-44,Watson,0.95
685bdd95c00438143f2d973b,book-44,petualangan kriminal,0.95
685bdd95c00438143f2d973c,book-45,boneka kayu,0.95
685bdd95c00438143f2d973d,book-45,Pinocchio,0.95
685bdd95c00438143f2d973e,book-45,petualangan anak,0.95
685bdd95c00438143f2d973f,book-45,dongeng klasik,0.95
685bdd95c00438143f2d9740,book-45,kejujuran dan pertumbuhan,0.95
685bdd95c00438143f2d9741,book-46,Santa Claus,0.95
685bdd95c00438143f2d9742,book-46,asal usul,0.95
685bdd95c00438143f2d9743,book-46,petualangan dongeng,0.95
685bdd95c00438143f2d9744,book-46,musim dingin,0.95
685bdd95c00438143f2d9745,book-46,legenda natal,0.95
685bdd95c00438143f2d9746,book-47,Cookie Run,0.95
685bdd95c00438143f2d9747,book-47,museum,0.95
685bdd95c00438143f2d9748,book-47,ilmu pengetahuan,0.95
685bdd95c00438143f2d9749,book-47,petualangan edukatif,0.95
685bdd95c00438143f2d974a,book-47,karakter manis,0.95
685bdd95c00438143f2d974b,book-48,Puri Rajawali,0.95
685bdd95c00438143f2d974c,book-48,puri tua,0.95
685bdd95c00438143f2d974d,book-48,lorong rahasia,0.95
685bdd95c00438143f2d974e,book-48,petualangan anak,0.95
685bdd95c00438143f2d974f,book-48,misteri kastil,0.95
685bdd95c00438143f2d9750,book-49,petualangan edukatif,0.95
685bdd95c00438143f2d9751,book-49,cerita anak,0.95
685bdd95c00438143f2d9752,book-49,kisah imajinatif,0.95
685bdd95c00438143f2d9753,book-49,ilustrasi penuh warna,0.95
685bdd95c00438143f2d9754,book-49,dongeng modern,0.95
685bdd95c00438143f2d9755,book-50,fantasi anak,0.95
685bdd95c00438143f2d9756,book-50,imajinasi liar,0.95
685bdd95c00438143f2d9757,book-50,Ziggy Zezsyazeoviennazabrizkie,0.95
685bdd95c00438143f2d9758,book-50,nilai kehidupan,0.95
685bdd95c00438143f2d9759,book-50,petualangan hari ini,0.95
685bde19c00438143f2d975a,book-51,Miko,0.95
685bde19c00438143f2d975b,book-51,komedi kampus,0.95
685bde19c00438143f2d975c,book-51,kisah cinta lucu,0.95
685bde19c00438143f2d975d,book-51,anak kuliahan,0.95
685bde19c00438143f2d975e,book-51,cerita remaja,0.95
685bde19c00438143f2d975f,book-52,Kukuh,0.95
685bde19c00438143f2d9760,book-52,pencarian identitas,0.95
685bde19c00438143f2d9761,book-52,kampung halaman,0.95
685bde19c00438143f2d9762,book-52,anak muda,0.95
685bde19c00438143f2d9763,book-52,perjalanan hidup,0.95
685bde19c00438143f2d9764,book-53,perang dunia,0.95
685bde19c00438143f2d9765,book-53,pertemanan sulit,0.95
685bde19c00438143f2d9766,book-53,Barat dan Timur,0.95
685bde19c00438143f2d9767,book-53,identitas diri,0.95
685bde19c00438143f2d9768,book-53,konflik politik,0.95
685bde19c00438143f2d9769,book-54,dunia paralel,0.95
685bde19c00438143f2d976a,book-54,portal misterius,0.95
685bde19c00438143f2d976b,book-54,anak muda petualang,0.95
685bde19c00438143f2d976c,book-54,fantasi modern,0.95
685bde19c00438143f2d976d,book-54,petualangan lintas dunia,0.95
685bde19c00438143f2d976e,book-55,bayangan dunia,0.95
685bde19c00438143f2d976f,book-55,anak gelap,0.95
685bde19c00438143f2d9770,book-55,kisah ganda,0.95
685bde19c00438143f2d9771,book-55,fantasi remaja,0.95
685bde19c00438143f2d9772,book-55,kehidupan misterius,0.95
685bde19c00438143f2d9773,book-56,kebohongan media,0.95
685bde19c00438143f2d9774,book-56,manipulasi informasi,0.95
685bde19c00438143f2d9775,book-56,kekuatan teknologi,0.95
685bde19c00438143f2d9776,book-56,dunia digital,0.95
685bde19c00438143f2d9777,book-56,distopia,0.95
685bde19c00438143f2d9778,book-57,raja iblis,0.95
685bde19c00438143f2d9779,book-57,pemburu bayaran,0.95
685bde19c00438143f2d977a,book-57,fantasi gelap,0.95
685bde19c00438143f2d977b,book-57,reinkarnasi,0.95
685bde19c00438143f2d977c,book-57,dunia bawah,0.95
685bde19c00438143f2d977d,book-58,dunia terbalik,0.95
685bde19c00438143f2d977e,book-58,realitas virtual,0.95
685bde19c00438143f2d977f,book-58,eksperimen rahasia,0.95
685bde19c00438143f2d9780,book-58,drama psikologis,0.95
685bde19c00438143f2d9781,book-58,misteri pikiran,0.95
685bde19c00438143f2d9782,book-59,astronot,0.95
685bde19c00438143f2d9783,book-59,planet merah,0.95
685bde19c00438143f2d9784,book-59,koloni mars,0.95
685bde19c00438143f2d9785,book-59,sains luar angkasa,0.95
685bde19c00438143f2d9786,book-59,petualangan antariksa,0.95
685bde19c00438143f2d9787,book-60,Detektif Conan,0.95
685bde19c00438143f2d9788,book-60,misteri pembunuhan,0.95
685bde19c00438143f2d9789,book-60,Shinichi Kudo,0.95
685bde19c00438143f2d978a,book-60,komik detektif,0.95
685bde19c00438143f2d978b,book-60,cerita kriminal,0.95
685be11ec00438143f2d97ea,book-61,Steve Jobs,1.0
685be11ec00438143f2d97eb,book-61,Apple,0.95
685be11ec00438143f2d97ec,book-61,inovasi,0.9
685be11ec00438143f2d97ed,book-61,teknologi,0.85
685be11ec00438143f2d97ee,book-61,biografi,0.95
685be11ec00438143f2d97ef,book-61,Walter Isaacson,0.8
685be11ec00438143f2d97f0,book-61,kreativitas,0.8
685be11ec00438143f2d97f1,book-61,pemimpin,0.75
685be11ec00438143f2d97f2,book-62,Soekarno,1.0
685be11ec00438143f2d97f3,book-62,proklamator,0.95
685be11ec00438143f2d97f4,book-62,Indonesia,0.9
685be11ec00438143f2d97f5,book-62,biografi,0.9
685be11ec00438143f2d97f6,book-62,nasionalisme,0.85
685be11ec00438143f2d97f7,book-62,kemerdekaan,0.8
685be11ec00438143f2d97f8,book-62,Cindy Adams,0.75
685be11ec00438143f2d97f9,book-63,Nelson Mandela,1.0
685be11ec00438143f2d97fa,book-63,Afrika Selatan,0.9
685be11ec00438143f2d97fb,book-63,apartheid,0.95
685be11ec00438143f2d97fc,book-63,perjuangan,0.85
685be11ec00438143f2d97fd,book-63,kebebasan,0.9
685be11ec00438143f2d97fe,book-63,biografi,0.9
685be11ec00438143f2d97ff,book-64,Habibie,1.0
685be11ec00438143f2d9800,book-64,Ainun,0.95
685be11ec00438143f2d9801,book-64,kisah cinta,0.85
685be11ec00438143f2d9802,book-64,Presiden Indonesia,0.9
685be11ec00438143f2d9803,book-64,biografi,0.85
685be11ec00438143f2d9804,book-65,Michelle Obama,1.0
685be11ec00438143f2d9805,book-65,First Lady,0.95
685be11ec00438143f2d9806,book-65,inspirasi,0.9
685be11ec00438143f2d9807,book-65,memoar,0.9
685be11ec00438143f2d9808,book-65,perempuan hebat,0.85
685be11ec00438143f2d9809,book-66,Andrea Hirata,1.0
685be11ec00438143f2d980a,book-66,Laskar Pelangi,0.95
685be11ec00438143f2d980b,book-66,perjalanan hidup,0.85
685be11ec00438143f2d980c,book-66,inspiratif,0.8
685be11ec00438143f2d980d,book-67,Malala,1.0
685be11ec00438143f2d980e,book-67,pendidikan perempuan,0.95
685be11ec00438143f2d980f,book-67,Pakistan,0.85
685be11ec00438143f2d9810,book-67,hak asasi,0.85
685be11ec00438143f2d9811,book-67,memoar,0.9
685be11ec00438143f2d9812,book-68,Elon Musk,1.0
685be11ec00438143f2d9813,book-68,Tesla,0.95
685be11ec00438143f2d9814,book-68,SpaceX,0.95
685be11ec00438143f2d9815,book-68,inovator,0.9
685be11ec00438143f2d9816,book-68,Ashlee Vance,0.8
685be11ec00438143f2d9817,book-69,Anne Frank,1.0
685be11ec00438143f2d9818,book-69,Holocaust,0.95
685be11ec00438143f2d9819,book-69,perang dunia,0.9
685be11ec00438143f2d981a,book-69,diary,0.9
685be11ec00438143f2d981b,book-69,Yahudi,0.85
685be11ec00438143f2d981c,book-70,Einstein,1.0
685be11ec00438143f2d981d,book-70,Walter Isaacson,0.9
685be11ec00438143f2d981e,book-70,fisika,0.95
685be11ec00438143f2d981f,book-70,teori relativitas,0.9
685be11ec00438143f2d9820,book-71,Gus Dur,1.0
685be11ec00438143f2d9821,book-71,pluralisme,0.9
685be11ec00438143f2d9822,book-71,Islam Nusantara,0.85
685be11ec00438143f2d9823,book-71,Presiden Indonesia,0.9
685be11ec00438143f2d9824,book-72,Ellen Johnson Sirleaf,1.0
685be11ec00438143f2d9825,book-72,Liberia,0.95
685be11ec00438143f2d9826,book-72,presiden perempuan,0.95
685be11ec00438143f2d9827,book-72,memoar,0.9
685be11ec00438143f2d9828,book-73,Habibie,1.0
685be11ec00438143f2d9829,book-73,reformasi,0.95
685be11ec00438143f2d982a,book-73,politik Indonesia,0.9
685be11ec00438143f2d982b,book-73,transisi kekuasaan,0.85
685be11ec00438143f2d982c,book-74,Tina Fey,1.0
685be11ec00438143f2d982d,book-74,komedi,0.95
685be11ec00438143f2d982e,book-74,Hollywood,0.9
685be11ec00438143f2d982f,book-74,perempuan karier,0.85
685be11ec00438143f2d9830,book-75,Barack Obama,1.0
685be11ec00438143f2d9831,book-75,Presiden AS,0.95
685be11ec00438143f2d9832,book-75,politik,0.9
685be11ec00438143f2d9833,book-75,memoar,0.9
685be11ec00438143f2d9834,book-76,Cicely Tyson,1.0
685be11ec00438143f2d9835,book-76,aktris kulit hitam,0.95
685be11ec00438143f2d9836,book-76,Hollywood,0.9
685be11ec00438143f2d9837,book-76,memoar,0.9
685be11ec00438143f2d9838,book-77,Jeannette Walls,1.0
685be11ec00438143f2d9839,book-77,masa kecil,0.95
685be11ec00438143f2d983a,book-77,keluarga disfungsional,0.9
685be11ec00438143f2d983b,book-77,memoar,0.9
685be11ec00438143f2d983c,book-78,Jane Fonda,1.0
685be11ec00438143f2d983d,book-78,aktivisme,0.95
685be11ec00438143f2d983e,book-78,Hollywood,0.9
685be11ec00438143f2d983f,book-78,memoar,0.9
685be11ec00438143f2d9840,book-79,Andre Agassi,1.0
685be11ec00438143f2d9841,book-79,tenis,0.95
685be11ec00438143f2d9842,book-79,olahraga,0.9
685be11ec00438143f2d9843,book-79,memoar,0.85
685be11ec00438143f2d9844,book-80,Tara Westover,1.0
685be11ec00438143f2d9845,book-80,pendidikan,0.95
685be11ec00438143f2d9846,book-80,fundamentalisme,0.9
685be11ec00438143f2d9847,book-80,memoar,0.9
685be289c00438143f2d9848,book-81,Helen Keller,1.0
685be289c00438143f2d9849,book-81,tunanetra,0.95
685be289c00438143f2d984a,book-81,tuli,0.95
685be289c00438143f2d984b,book-81,inspirasi,0.9
685be289c00438143f2d984c,book-81,perempuan hebat,0.85
685be289c00438143f2d984d,book-81,autobiografi,0.9
685be289c00438143f2d984e,book-82,Bob Dylan,1.0
685be289c00438143f2d984f,book-82,musisi legendaris,0.95
685be289c00438143f2d9850,book-82,folk rock,0.9
685be289c00438143f2d9851,book-82,memoar,0.85
685be289c00438143f2d9852,book-82,karier musik,0.8
685be289c00438143f2d9853,book-83,Stephen King,1.0
685be289c00438143f2d9854,book-83,menulis,0.95
685be289c00438143f2d9855,book-83,panduan penulisan,0.9
685be289c00438143f2d9856,book-83,memoar,0.85
685be289c00438143f2d9857,book-83,penulis horor,0.8
685be289c00438143f2d9858,book-84,Elton John,1.0
685be289c00438143f2d9859,book-84,musik,0.95
685be289c00438143f2d985a,book-84,ketenaran,0.9
685be289c00438143f2d985b,book-84,LGBTQ+,0.85
685be289c00438143f2d985c,book-84,memoar,0.85
685be289c00438143f2d985d,book-84,ikon pop,0.8
685be289c00438143f2d985e,book-85,Trevor Noah,1.0
685be289c00438143f2d985f,book-85,Afrika Selatan,0.95
685be289c00438143f2d9860,book-85,apartheid,0.9
685be289c00438143f2d9861,book-85,komedi,0.9
685be289c00438143f2d9862,book-85,memoar,0.85
685be289c00438143f2d9863,book-86,Marilyn Manson,1.0
685be289c00438143f2d9864,book-86,musik industrial,0.95
685be289c00438143f2d9865,book-86,kontroversi,0.9
685be289c00438143f2d9866,book-86,biografi,0.85
685be289c00438143f2d9867,book-86,rock alternatif,0.8
685be289c00438143f2d9868,book-87,Amy Poehler,1.0
685be289c00438143f2d9869,book-87,komedian,0.95
685be289c00438143f2d986a,book-87,Saturday Night Live,0.9
685be289c00438143f2d986b,book-87,feminis,0.85
685be289c00438143f2d986c,book-87,memoar,0.85
685be289c00438143f2d986d,book-87,esai jenaka,0.8
685be289c00438143f2d986e,book-88,Leonardo da Vinci,1.0
685be289c00438143f2d986f,book-88,seniman Renaissance,0.95
685be289c00438143f2d9870,book-88,ilmu pengetahuan,0.9
685be289c00438143f2d9871,book-88,Walter Isaacson,0.85
685be289c00438143f2d9872,book-88,biografi,0.9
685be289c00438143f2d9873,book-88,penemu jenius,0.85
685be289c00438143f2d9874,book-89,Paul Kalanithi,1.0
685be289c00438143f2d9875,book-89,kanker paru,0.95
685be289c00438143f2d9876,book-89,dokter bedah,0.9
685be289c00438143f2d9877,book-89,hidup & kematian,0.9
685be289c00438143f2d9878,book-89,memoar,0.85
685be289c00438143f2d9879,book-89,filosofi kehidupan,0.8
685be289c00438143f2d987a,book-90,Yvon Chouinard,1.0
685be289c00438143f2d987b,book-90,Patagonia,0.95
685be289c00438143f2d987c,book-90,aktivisme lingkungan,0.9
685be289c00438143f2d987d,book-90,bisnis berkelanjutan,0.9
685be289c00438143f2d987e,book-90,memoar,0.85
685be289c00438143f2d987f,book-90,gaya hidup,0.8
685be866c00438143f2d9880,book-91,langit,0.85
685be866c00438143f2d9881,book-91,senja,0.84
685be866c00438143f2d9882,book-91,Andi Gunawan,1.0
685be866c00438143f2d9883,book-92,tangisan,0.85
685be866c00438143f2d9884,book-92,balik,0.84
685be866c00438143f2d9885,book-92,pintu,0.83
685be866c00438143f2d9886,book-92,Andi Gunawan,1.0
685be866c00438143f2d9887,book-93,pelangi,0.85
685be866c00438143f2d9888,book-93,ujung,0.84
685be866c00438143f2d9889,book-93,jalan,0.83
685be866c00438143f2d988a,book-93,Rini Maharani,1.0
685be866c00438143f2d988b,book-94,hujan,0.85
685be866c00438143f2d988c,book-94,bulan,0.84
685be866c00438143f2d988d,book-94,juni,0.83
685be866c00438143f2d988e,book-94,Fitri Ramadhani,1.0
685be866c00438143f2d988f,book-95,kisah,0.85
685be866c00438143f2d9890,book-95,luka,0.84
685be866c00438143f2d9891,book-95,Rini Maharani,1.0
685be866c00438143f2d9892,book-96,ruang,0.85
685be866c00438143f2d9893,book-96,rindu,0.84
685be866c00438143f2d9894,book-96,Dewi Anggraini,1.0
685be866c00438143f2d9895,book-97,hati,0.85
685be866c00438143f2d9896,book-97,yang,0.84
685be866c00438143f2d9897,book-97,tertinggal,0.83
685be866c00438143f2d9898,book-97,Dewi Anggraini,1.0
685be866c00438143f2d9899,book-98,cinta,0.85
685be866c00438143f2d989a,book-98,balik,0.84
685be866c00438143f2d989b,book-98,awan,0.83
685be866c00438143f2d989c,book-98,Tegar Prasetyo,1.0
685be866c00438143f2d989d,book-99,langkah,0.85
685be866c00438143f2d989e,book-99,terakhir,0.84
685be866c00438143f2d989f,book-99,Larasati Putri,1.0
685be866c00438143f2d98a0,book-100,surat,0.85
685be866c00438143f2d98a1,book-100,untuk,0.84
685be866c00438143f2d98a2,book-100,bintang,0.83
685be866c00438143f2d98a3,book-100,Rini Maharani,1.0
685be866c00438143f2d98a4,book-101,kepingan,0.85
685be866c00438143f2d98a5,book-101,kenangan,0.84
685be866c00438143f2d98a6,book-101,Arief Setiawan,1.0
685be866c00438143f2d98a7,book-102,sepasang,0.85
685be866c00438143f2d98a8,book-102,mata,0.84
685be866c00438143f2d98a9,book-102,Fitri Ramadhani,1.0
685be866c00438143f2d98aa,book-103,garis,0.85
685be866c00438143f2d98ab,book-103,waktu,0.84
685be866c00438143f2d98ac,book-103,Dewi Anggraini,1.0
685be866c00438143f2d98ad,book-104,sebuah,0.85
685be866c00438143f2d98ae,book-104,nama,0.84
685be866c00438143f2d98af,book-104,Larasati Putri,1.0
685be866c00438143f2d98b0,book-105,senandung,0.85
685be866c00438143f2d98b1,book-105,cinta,0.84
685be866c00438143f2d98b2,book-105,Tegar Prasetyo,1.0
